,reviews
31,Love this classic beach bottom. I originally purchased from i believe their only real etsy competitor HanuHawaii which i took with me on my honey moon. NiuKini quality is definitely superior. HanuHawaii used a tan thread for stitching on their bottoms which looked like my skin was showing through. And after a week of honeymoon diving Hanu stitching started to untie. I love that they both use scraps for the crotch lining but overall for basic black bikini bottom NiuKini quality is perfect and so comfortable. Also super flattering because no where pinches in the skin leaving everything smooth. Thanks Niukini <3
32,Absolutely LOVE! They fit perfectly. I got a size M and I'm 5'9 and 135 pounds just for reference. Highly recommend these bottoms!
33,"I absolutely love this suit! It is so comfortable and flattering, and arrived quickly. I usually wear M in bottoms but I am really glad I ordered the XS, they fit perfectly and don't pinch at all. For reference, I am 5'6, 130 lb. with 38-39 in. hips."
34,"Love these!! I own the regular Maile cut and then asked Annie if she could adjust the back to have more moderate coverage. Both styles are perfect for me. They are easily the comfiest bikini bottoms I have ever owned—no pinching or cutting into skin. They feel like a second skin. Thanks, Annie!"
35,"I'm similar built to the model in the picture, the measurements were right but it's just not my go to bikini! It doesn't look as good on me but the quality is great and the color was exactly what I expected :)"
36,"This is my new favorite swimsuit! Annie was accommodating to my time frame and had my suit out quickly. The seamless bottom is PERFECT! It doesn’t cut into my sides like most other suits do. I’m 5’8 @ 140lbs and the medium bottom and top both fit very well.  Will be ordering again soon. Thanks so much, Annie."
37,"I love the shape of this bottom, the only thing I would recommend is to get one size down, since is seamless  stretches little bit! Other than that I’m happy!"
38,"Love my bathing suit top and bottom! I love that the bottoms are seamless, comfortable, and trendy. They look great on. Additionally, the shop owner Annie is personable and easy to work with! I will buy more products from her in the future!"
39,"I love these bottoms so much!!!!! The maker is so sweet and responded to my email asap, and shipped on time! They are so soft and well made and seamless!"
40,"So in love with these bottoms!! I love the design and that they are seamless, I haven't had the rolling problem as others have had"
41,So cute! Love the fit and the fabric. My bum is loving the sun!!!
42,Perfect 👌
43,"The quality seems good. Unlined, just a single layer of fabric. There is a white liner in the crotch area that shows a little bit when wearing it, however. Note that the cut is a V shape in front and back (the pictures don’t show it). Not exactly what I thought I was getting but it is very comfortable !"
44,"Well made, color is perfect as pictured. Very flattering. I hope to eventually get a matching top. Coverage is as described. Sizing was perfect."
45,"AMAZING. just buy. not only great quality, but the shop owner is easy to communitcate with and is willing to work with special requests. I am so happy with my order!"
46,"Super comfy, I got the black bottoms and it fit perfectly in medium."
47,Great fit!
48,Ordered both the Maile and Napali bottoms and both were perfect! Comfortable and flattering fit. Annie (the seller) was extremely accommodating  and made sure they would arrive in time for my vacation. I'll definitely be ordering more colors for my next trip!
49,"The bottoms are perfect! I have been searching forever to find this thin/super soft material for a bathing suit. The seller responded promptly and was able to accommodate all of my requests. I found a color pattern that I preferred, and the seller made sure to meet all of my requests. Highly recommend this product, and I will be purchasing a bunch more in the future."
50,This bottom fits perfectly and looks great!
51,"I love these bottoms. The fabric and construction are good quality. I was looking for bottoms that wouldn't give me ""muffin top"" and these are perfect. Flattering and the fit is great. I read the sizing description and reviews and ordered according to that and it worked out perfectly. I already want it in more colors ☺ It also shipped a few days before the expected date and got to me quickly. Thanks so much for this cute quality suit!"
52,"I bought these for my fiancé and she loves the look and feel as do I. She hasn't tried them out in the water yet so we don't have a review on how well they hold up to the beach, but the look is really sexy."
53,"Love these! Uber comfy, flattering, and perfect sizing — I usually where a small in bikini bottoms (size 4 in pants) so sizing down to an XS was a good idea."
54,Loved this item; it fits perfectly! Def ordering more!
55,"I love these bottoms! Fit great, and so comfortable!"
56,My bottoms were absolutely worth the wait! They're super cute & comfortable. Unfortunately it's not as tight as I would like but that's because I ordered a M/L since I usually take a medium.
57,Love the way it fits all around
58,Love this suit! I have a very small bust and this suit fits me well. I’m 5’8” and 125 lbs and ordered a small for both top and bottom. It’s so comfy and I love that you could choose your coverage on the bottoms. Will be ordering another!
59,It was a little big. Should have gone down a size. You can see the liner sometimes.
60,SO comfortable! I want all my swim bottoms to be like this!
61,I love this bottom. The size is perfect and  it fits great.
62,Love the bottoms! Great fabric and color. Thank you!!!
63,So cute!!!
64,Love them. Very flattering. Little thinner than I imagined buy perfect nonetheless.
65,"This fits beautifully. My only complaint is that, because it is seamless, the edges rolled (I haven't tried it in water yet, so hopefully it won't slip off). Otherwise, the material is wonderful. I will definitely be ordering more -but perhaps one with seams!"
66,"It has taken a bit for my review, because I had hopes that I would change my mind. The bikini bottom is to big for me however, based on the chart a medium would have been to small. The back doesn't really cover top of my crack. I feel I paid for a very expensive pair of underwear, that are just not that great. 

9/1/2021 I am editing my review, because of the wonderful customer service I received from Annie. I was well over the seven day window for an exchange, and was frustrated with the fit of the Maile bottoms (I am Med/large) Annie reached out and suggested the Ohelo bottoms, as the material was a bit thicker. I received them yesterday and the fit beautifully! Annie went above and beyond to make this order right. You don't find this kind of customer service really anymore. I will be buying more soon. Now a loyal customer."
67,"I love this bottom, it's so comfy, but unfortunately it's a bit too big on me. I'm a 0 by nature, and my butt isn't the largest, so once my bottoms get wet, they kind of want to fall off. Other than that, they look great and couldn't be more comfortable!"
68,In love with these bottoms!!! SO comfortable and cute!! I’m never going back to regular bikini bottoms!🤩
69,"I can't wait to wear these once it warms up! They fit super well, and the fabric is very soft."
70,Love the bottom! Very comfortable and perfect fit!
71,Super cute but the xs fits more like a s/m
72,"Best swim bottoms I have ever put on my body. Butter fabric, hugs all the right places, no digging. So damn comfy too. Going to order more colors ASAP! The shop owner is delightful as well :) thanks !!"
73,Loooove this print! The bottoms are so soft and comfortable! Can’t wait to wear this summer!
74,the best bikini bottoms ever!!
75,Got it and love it!
76,Love this bikini bottom! Super comfy and cute.
77,Super cute! And comfy!
78,Great seller! Easy to work with and wonderful swimsuits.
79,Very comfortable and fits as it should
80,Hands down best bikini bottoms I own!!!
81,These bottoms are super soft and comfortable. They are a lot like the seamless yoga underwear one might find as well but still great for comfy and causal water activities
82,"Love this product, great quality!"
83,Great quality material! Fits true to size.
84,"Awesome fit, cute color! Beware tho these cause major front wedgie! (TMI, sorry)"
85,Excellent communication and products! Shipping was also faster than expected. Thank you for everything!
86,Super comfortable and makes the booty pop!🍑⚡️
87,"I can't speak to the bikini bottoms as they were lost in the mail, but NuiKini went above and beyond in the customer service department.  They refunded my purchase and offered me a discount should I want to purchase another.  (Which I promptly did!)"
88,"Poor quality material. Wouldn't pass as a bikini bottom, would be better suited as silk underwear. Disappointed with material and overall quality for being ""handmade""."
89,"Looks exactly like the photos and the fit is perfect! I'm curvy and 5'3"" so I was a little concerned about the length of the straps but the top does fit properly. I haven't tried it in the water yet but I don't think there would be any issues with transparency as the fabric is thick and solid. Very happy overall and looking forward to trying it out!"
90,"Pattern is even more beautiful in person! Wonderful shop, designer, and product."
91,"i loved this swimwear, the color, fit and material was very nice and complimented me. The packaging and personal note was a very nice touch."
92,"Le maillot de bain est en France!
Il est trés beau.
Merci pour cette transaction ou tout s'est bien passé.
Boutique à l'ecoute, réponse et envoi rapide."
93,"Sarah is amazing!!! I bought blue, white, and black long cover ups and they all came quickly. They look gorgeous on, for any body type, and are the perfect amount of sheer to feel sensual, fabulous for self yet not ""out there"" attracting unwanted gazes. Her customer service, perfection on replying super promptly, and passion for this work shows in each lovely wrapped item. Thank you so much!!! So amazing will be using this for a professional video shoot for upcoming project."
94,"The photos truly don’t do this item justice. I put it on and fell in love. It’s slightly longer than I realized it would be, but it’s going to be absolutely perfect."
95,"Ran to my mailbox, tackled the mailman, ripped open the package. Tried the coverup on and OMG its beautiful! Flows like water when you walk in it, and fits like a dream. Very good construction, and fit. Also its shipped super fast! Sarah was so professional and kind, she even sent me a thank you note! I will be ordering from her again.

One criticism though is just to offer a photo of the colors of fabric online, I thought it was going to be a little more green and less blue. But still its gorgeous and Im VERY HAPPY!"
96,"The seller worked with me to expedite receiving this item in time for my vacation. It's got a lovely drape and I wore it to a music festival. I felt so beautiful dancing in this flowy dress/cover-up! Thank you, I love this item."
97,"Delivery was extremely fast, material is so luxurious, and it is made to fit my height to perfection! A beautiful coverup,"
98,I received my coverup on yesterday and I am in love! It was perfect!!!! I also appreciated the hand written thank you note that was sent with my purchase. People nowadays normally do not take the time to give this added touch.
99,Absolutely LOVE it. Will definitely be purchasing another! Not too see through and just perfect length. Can't wait to use it in Mexico! Big thanks to Sarah for handling a post office snafu perfectly. ABSOLUTELY LOVE IT!
100,Love Sara! Great communication! My caftan is beautifully made! She did an amazing job! Will be ordering from her again! And FAST SHIPPING! :)
101,"I love this coverup i just came back. From Punta Cana, Dominican Republic. We stay at all exclusive Real Palm Paradisus Resort. For 7 days. I got many compliments. We're going back next year plan getting another one."
102,"Love this coverup! It's so effortlessly chic and feels greats! 
Shipped out fast. I'm very happy with the purchase!"
103,As pictured. Super soft. Fast delivery and professional owner. She responded to my questions fast and shipped soon after payment confirmation. Will order other items in the near future. Oh and she sent the sweetest note with the package.
104,"Perfect length! I'm 6'2"" and Sarah made it just a little bit longer for me :)"
105,This item is one of a kind… So simple yet so so beautiful… That is why I have now ordered for for myself and one for my sister who adores hers as well… I can’t wait to go swimming ❤️❤️❤️
106,Love love love!!!
107,Exactly the same as the picture!!! So happy!!! Thank u!!! X
108,perfect &sexy
109,"I had a great experience shopping. Everything was quick and easy. Sara was supper easy to work with and her finish work is amazing. I was happy with the quality, product, and service. I think honestly think I got a still. 

Thanks Sara!"
110,"Sarah was more than accomodating. She went beyond my expectations. The coverup is lovely and I can't wait to strut in Vegas.
Thanks again Sarah!!!!"
111,Beautiful work!  Fits amazing and the length was perfect!  Can’t wait to hit the resort with this fashion!  Thank you again for your attentiveness in your customer service.
112,"Excellent service, which included free overnight shipping so my order would arrive on time, and an incredible product. Sarah is an artist."
113,I purchased a long sheer cover up from Sarah and it's prefect! Exactly what I was looking for. She is such a pleasure to work with! She responded to every email so quickly answered all my questions. I will definitely purchase from her again!
114,This Sheer Coverup is so beautiful! It's the perfect item for instant elegance. Thank you so much for this. Great seller and speedy delivery.
115,Simple but stunning coverup!  Even better than I expected and the order was completed and shipped so quickly!
116,"awesome as always!!!Super happy with my lovely dress - will rock it in Maldives resort in a couple of weeks!!!! Woohooo, Sarah, you are fabulous!"
117,Just beautiful.. can't say enough... thank you...!!!
118,It's fit great and I received loads of compliments
119,"Super cute. The packaging and detail in the shipping is so wonderful!!!!

**I planted it BTW. 

Thank you! Great Seller!!!!!"
120,This drapes in all the right places! Love love! I will buy again!
121,Love it! It fits perfectly!
122,Beautiful coverup. Very wel made and the fabric is gorgeous.
123,"It's perfect, exactly what I wanted."
124,The most gorgeous kaftan ever!
125,"Thank you, the coverup is wonderfully long and lovely!"
126,I love it! Absolutely beautiful!!
127,Simply Beautiful.  I will take this to Turks and Caicos
128,Perfect!  5 star customer service and packaging.  Already working on a second order.
129,the seller was awesome and delivered more than what she sold me. in addition to a bomb coverup I also had an awesome customer service experience. SARAH ROCKS :)
130,Perfect! Thank you so much!
131,"NO WORRIES FROM THE SELLER, SHE WAS KIND AND COURTEOUS AND DIED HER BEST TO PLEASE ME."
132,Beautiful!!  Perfect in every way.  Shipped super fast.
133,Beautiful cover up perfect just as the picture
134,love it.  it looks great on my daughter. a pleasure to deal with this vender. thank you. jackie
135,Talk about customer service! Sarah is amazing! Will recommend and also purchase again! Love my cover up!
136,Great cover up. Thank you!
137,Great to work with in regards to customizations and prompt responses. Thank you!
138,Perfect blue chiffon- my wife loves it
139,"The kaftan is well made and the material is of very good quality. Best yet, the item wasn’t just sewn on the sides with a hole at the top like a glorified pillow case (which is what I was expecting).  The stitching along the sides was actually a little closer to the body giving the piece more shape, which flattered the body while retaining volume and flowiness."
140,Absolutely LOVE it. Can't wait to actually wear it. :)
141,AWESOME AWESOME AWESOME!!! GREAT SERVICE as well!  Thanks again :)
142,"Great communication, super fast shipping, and gorgeous cover-up! Thank you:-)"
143,Item meets expectations.  I'm very pleased and do refer others to shop.
144,"Love it, fast shipping, thank you!"
145,Absolutely love this swimsuit! Fits perfectly and very sexy! My only wish is that it came with bottom liner....especially after exiting the water. :)
146,"Super sexy bathing suit!!!  I did not think it would fit, but its perfect!!"
147,Love it! Beautiful items and shipping was quick! Very happy!
148,"Wonderful one piece swimsuit, looks wonderful on her and more importantly, she loves it!! Arrived in the designated time frame."
149,"The swim suit is a pretty color and beautifully cut, but the material is SO THIN. I hope it doesn't rip and leave me exposed. Very flimsy construction. I feel like I should always have a change of clothes just in case😕"
150,It's a nice looking suit
151,This is a beautiful swimsuit. Love it!
152,"Beautiful, eccentric bathing suit!  Fits Perfect!  Thanks!"
153,"Fits well, except for the occasional nip-slips hehe :)"
154,Beautiful swimsuit and so soft. Quick delivery. Thanks!
155,"I love this top! I feel so free and comfortable :) 
 Thank you so much for the beautiful bracelet!"
156,I love the colors very comfortable. I did have to sew my own padding in though
157,it fit very well. i love it!
158,"The shipping was great. The color in the picture is very accurate. I'm  a DDD, so it just didn't cover me enough. I need more support too. This is probably better suited for teenagers to 30ish!"
159,fits good....light weight....can stretch or scrunch as you want
160,Love it! Fits great:)
161,Der Artikel hat sehr lange Gebraucht bis er ankam.
162,Love this bikini top! Very comfortable and fits great
163,It's so comfortable and freeing. I can just go lay out with no lines and no ties hurting my neck and back
164,Just as described looks beautiful! Only issue is too big
165,It took a while to arrive but my daughter won't wear the item because there is no lining in the swimsuit top! None!
166,"LOVED this bathing suit! It rides a little high above your hip bone so make sure you're used to wearing high wasted items before buying! I am 5'2"" and ordered a M/L which fit perfectly, thank you!!!"
167,"ABSOLUTELY LOVE this swim suit ! Cute and functional , and she did the fonts and lettering EXACTLY how I asked ! My measurements are 34-27-37 (im a 4/6 in dresses) (sz8 in jeans) and I got the medium/large and it fits perfectly!!! I will definitely be purchasing another in the future! Thank you !!! God bless. ?"
168,"I really like my suit! I'm 5'1 and around 120 pounds with a curvy figure and I got a small. The sides hit me at a nice area and I feel like Kylie Jenner when I wear it lol The straps are a little high maintenance because my torso is on the shorter side but not too much of an inconvenience. I recommend getting one, they're so much fun👍🏼"
169,"Great service, helped me alot with sizing. I'm very small, 158cm and thin. I bought the M/L and I'm glad I did! Fits perfectly and looks so beautiful on me. The shoulders are a bit loose but that's an easy fix if you know how to stitch! If you're a bit taller it would fit even more perfectly! It's worth the money! I would buy another one.. (edit: I bought a second one and it was amazing! Perfect text, great quality and again best service!)"
170,"I love this!! I got the custom one piece and I am 5""6 and 130 pounds and got an XL and fits perfectly"
171,LOVED my swimsuit! Medium was perfect for my small/medium  size! Can't wear it enough!!
172,"It fits great! I ordered the S/M before and it did not fit because it was too short in length. I ordered the M/L and it's great! I am 5'5"", 128 lbs, 32C and a little larger in the bottom. Hope this helps others!"
173,Worked alright for what I was doing! Wore it for a concert with shorts. But I'm usually a small all around and this was just a little to low since my torso is long. I do suggest a side up if you are busty. Seller was very helpful!
174,"These bathing suits are adorable!!! They are very high quality! They come with padding which is super nice. The seller was INCREDIBLE to work with - very fast to respond & answered all of our questions. These suits do run smaller (as the sizing charts and other reviews say). We are a group of 6 people and we range in height from 5'0"" to 5'10"". The XL worked for all of us since we're built so differently. Will definitely be ordering again!"
175,"Love my swimsuit!! Fits great and the color and lettering is perfect. I may remove the cups because they don't fit very well with my body, but other than that it's awesome and the low back is very flattering! I recommend ordering a size up. I am 5'5 and 120 lbs and normally I'm a 0-2 and wear S, but I got a M/L based on reviews and I'm so glad I did!"
176,I put my name on it and absolutely love this suit. I got so many compliments and everyone has been asking me where I got it. The shipping was super fast. I ordered it on a Monday and got it within the week. I am currently ordering more!
177,Love the suit. It's amazing! Shows a bit much more than I thought but hey it's for vegas in April! I ordered a medium but I have a long torso so I think I should've gotten a large to be safe. I'm 5'5 130 lbs.
178,Thank you so much ! I couldn’t be happier with how quickly it came and how perfect it fit and turned out ! Thanks again !!!
179,This shop is now my all time favorite. They did an amazing job on this one piece swimsuit for our pregnancy announcement! The owner was extremely responsive to me in a very timely manner. Thank you so much ADashofChic!
180,I recently got married and I ordered a custom bathing suit to wear at a celebration with close family and friends. The owner was very responsive and got this item out to me quick with the rush ship option. It fits perfect. Love this!
181,Runs very small! Excellent customer service and fast turn around time for a custom order. The first suit I ordered was way too small and she helped me rush order the next size up so I would have it in time for a music festival. I'm a dress size 6 and pants size 8 at 5'8 and I needed the XL. It's still a but too short in the torso. The crotch it cut really really high and that's my only complaint. If you are shorter and thinner then they would fit better. I just wear mine as a body suit w shorts and it looks sexy as hell.
182,"OMG I love this suit!!! Does it fit perfectly? No, but it's awfully close (just a little big in the shoulders). It's a swimsuit, so it is a little risky buying it before you can try it on. But I'm so glad I took a chance. My ""Body By Cake"" swimsuit is gonna get a lot of play in 2017!"
183,"The people were wonderful! I emailed them on a Friday asking if they could have a custom swimsuit to me by the following Friday, and I had it in my hands on Wednesday.

As far as the swimsuit goes, I am 5'4"" and 125 lbs, and I normally wear a size 2. I ordered a medium swimsuit, and I felt like I should have gotten a large because I felt too tall for the swimsuit. If you aren't sure about sizing, I would highly recommend emailing them and asking."
184,"Pictures turned out great for my bachelorette! The suit ran a bit small. I am 5'6"", 115 lbs and it was stretching pretty low on the neckline. The service has been excellent."
185,"The seller was very friendly and responsive. I am 5' 7"" and 115 pounds and I ordered a M/L. It fits me well so I would recommend sizing up!"
186,"Suit was cute! I ended up going for a size Large (I'm 5.3"", 117 lbs) in the white (since apparently the white is lined and doesn't stretch as much?) and found it WAY too long for me. Took it in to get the straps adjusted and it fit fine but would have probably been better off with a Medium. Otherwise, suit was just what I wanted and arrived quickly!"
187,Really Cute! I usually wear a size small and the medium was a little snug so order a size or two up!
188,"Swim suit is great material and suuuper cute! My boobs are too big and I think my torso was a little too long.. I ordered the XL, I'm 5'9 and a 36DD. I'm still going to wear it with shorts though."
189,"I ordered these custom bathing suits for a bachelorette party and they came out amazing. I even had to cancel a last minute bathing suit and the vendor had no problem working with me. 

I will defintily recommend you to my friends for future purchases. Thank you so much for everything!!"
190,"This item shipped quick and came as ordered. I'm 5'3"" and weigh 122, I got a medium. All and all, I love the way it fits. It does cut low in the front, but nothing too terrible. The straps are a little awkward but that is just due to the fully opened back. I bought this for a halloween costume and it's going to work perfectly."
191,"Such cute suits!! My cousins and I ordered them for a family vacation and loved them. Sizing is tricky but we spent a while reviewing the size charts and other reviews to determine what would fit us best. I'm 5'8"", 135 lbs, 36C and the small tall suit fit perfectly. Slight issue with the print of the text that the store owner was more than happy to help resolve. Thanks again!"
192,"The swimsuit is great quality, much better than I expected. However, it is much smaller than I thought and I sized up. I'm 5 foot 5, 32 bust and 128 lbs and I ordered a M/L, but the swimsuit was too short. Make sure you read the reviews and contact the shop and you'll get a better idea of what you should order! I'm definitely ordering again because the quality is great."
193,"Shipped super fast and turned out perfect! I will say order a size too big as they run a little small, but that is with any swimsuit! This was great and love, love, love the suit!"
194,The suit was perfect for my birthday trip to Spain! And the seller was fantastic with communication!! Thank you!
195,"The suit looks absolutely amazing. Runs a bit small, but if you ask the seller beforehand about what size you need, she is very good about getting you the right size. I'm 5'10 and muscular build and the XL fit perfectly (was tall enough for my torse, etc)!"
196,Absolutely love my custom suit! Fits true to size and the lettering is perfect. It was the best thing to bring with my on my most recent vacation and I will definitely be buying more from this vendor!
197,"If you have a long torso and perky under C-cup boobs I wouldn't recommend this for you. Great quality, beautiful writing but just doesn't fit right at all."
198,The quality is great! There’s padding in the suit which is something I had never seen a one piece! The owner of the shop is extremely professional! I will be buying from this shop again and recommend it to everyone!
199,Fast Friendly service! Suit runs a little small but fits! Thank you so much!
200,Item shipped quickly and fit perfectly! The text looked great too. Can't wait to wear this on the beach!
201,The shop owner went above and beyond to make sure we got this order on time for our event! Thank you so much for making us and our clients happy.
202,Perfect in every way! Highly recommend this shop for your bridal kini needs! Seller is easy to work with and very quick in provided product and response :) can't wait to have it on in Vegas
203,The swimsuits are perfect! The sewn in cups were a nice surprise. Will definitely purchase again.
204,I just received my swimsuit and I LOVE IT! I want to give a detailed review considering there was a few mentions on the sizing of the swimsuits. The communication with the seller was top notch. She answered all my questions quickly and fulfilled my order fast since I'm leaving on vacation next week. The color and the letters look fantastic. I made sure to communicate with the shop regarding any concerns I had regarding the fit. She was so helpful and gave her recommendation as to the sizing. I am 5'2 and weigh 140 pounds. I'm big on top (Size D Cup) but smaller on the bottom. The swimsuit covers my girls perfectly and holds them in tight! The bathing suit has a slightly higher cut but not so high that would make anyone feel uncomfortable if that's not your preference. I ordered an XL and it fit perfect! THANK YOU ❤
205,I absolutely love ❤️ everything i bought! Plus it was beautifully wrapped 🎁
206,The suit was and is fantastic.
207,"SO Cute, gold color and quality of suit is GREAT. SUPER fast from order to delivery!"
208,The suit came quickly and the owner was happy to answer questions and work with me to create what I wanted. Would highly recommend!
209,Exactly as pictured and fast shipping!!! Absolutely love!!!
210,"This item shipped quickly and she sent me a proof before she printed it which was very helpful. However, the sizing is misleading. I am 5’6 and small chested I ordered a medium and when it arrived it is VERY SHORT. It fit fine around the waist, but it is so short it cannot be worn even uncomfortably. These suits are for short/very short torsoed women. A friend who is 5’2 ordered a large and it is still very short on her where she needs to reorder in a tall size. Also, I imagine if your are big breasted the way the straps wrap around your shoulders in the back it would cut in to your armpits and be very uncomfortable. Great service, but terribly described sizing."
211,"Bottom line: I really like this suit! The only reason it's not 5 stars is because the suit itself is a little too snug around my booty. I am not particularly curvy but I do have little butt and when I walk the suit rides up to the middle of my cheeks. It's not too tight that it cuts off my leg circulation but it does come up. When I walk I am frequently adjusting the bottom of the suit. The rest of the suit fits perfectly and offers great chest coverage. The open back adds just a touch of sexiness without being too revealing. The material is great quality and the wording is straight and even. Overall, it's a great suit."
212,"Seller was diligent in expediting my order for a birthday party, also love that the suit has cups! Good Quality."
213,RUNS EXTREMELY SMALL! I am usually a med and the XL did not fit at all!
214,My swimsuit turned out great! Definitely recommend ordering a size up.
215,I received amazing customer service from the shop and everything shipped in time for my trip! I would highly recommend ordering from them!
216,I'm in love! Great product and very professional! Quick turnaround also!
217,Thank you so much ! So cute :)
218,It was perfect thank you!
219,Super cute and great quality
220,I ordered a size larger than I normally wear (size 2) and it fits well. Shop owner was quick to answer any question.
221,Great Quality! Definitely recommend this shop.
222,"Overall, I would like to give ADashofChic a 5 star rating. It is always difficult when ordering a bathing suit that you cannot try on before you purchase. I was very nervous about this but needed this suit in particular for a group bachelorette party.

When I first received the swimsuit, it did not fit right. I am 5'2"" 120lbs and ordered a M/L. The front of the suit was a little low in front and the straps were a little loose. I contacted the shop and they were extremely helpful in listening to any concerns I had. I was able to send in my concerns and they quickly fixed the issue to ensure my suit fit to my standards. I really appreciated the great (and fast) customer service to fix my concern."
223,Cute but sizes run small. Loved the personalize
224,Everything was great . It just took forever to get shipped.
225,The quality of the suit itself is poor. If I were to go in the water you would be able to see right through it. The lettering and customization was nice. The quick service and shipment was also nice. I wouldn't order another or again.
226,I ordered a size S/M which I thought would've fit because I'm short and petite but the swimsuit was way too small.. I'm disappointed I waisted my money.
227,"Shipped very quickly. Material is very nice. I have a large bust and didn't realize it is quite low cut in the front as well, so keep that in mind when ordering. 
No complaints about the suit though, it was made exactly as I ordered"
228,"Shipped very quickly and looked great, but the arm holes were very tight and fit loosely in the back"
229,Gave this as a gift. My friend really liked it. It was great quality but did run really small. Size way up!
230,fit was not great. top didn't fit well
231,Quick shipping and great communication
232,fit everywhere except the top. the strains were too big
233,the arms were too tight :(
234,Great communication. Fit exactly as I expected!
235,I am disappointed...my name is not centered therefore it looks funny and I won’t be wearing it. My name is 7 letters therefore the 4 letter should be centered.
236,"I never got my item .... although i was keep asking but the only response to wait and when a case raised the seller was upset about case more than not getting my item and when i asked to have my item , she claims that she will refund ... very rude"
237,"Suit is good quality, although there isn't an easy way to keep the removable pads in place.  Im 5'2 and 110 and I ordered a medium.  I can see how this suit would be a difficult fit for someone taller.  My biggest issue was that the wording on my custom swimsuit was wrong the first time around, and I was asked to pay shipping for the corrected custom order.  This seemed ridiculous to me since I very clearly specified the details of my custom order the first time around.  I agreed to pay because I needed the swimsuit for an obligation, however the shop owner was rude and blamed me for the error even after I sent screenshots of the original order."
238,I love my swimsuit. Fits like a glove. I asked for very specific customization and I was given exactly what I asked for. I'm very happy with my purchase. Thank you!!
239,Love this bathing suit so much! It fits perfect and dealing with Anthony was awesome. I wanted it delivered a little faster than standard shipping and he was totally easy to work with and made + shipped it fast so I could still wear it a few times this summer. Thank you!
240,"I have unusual proportions and a long torso, so I've never been able to find a one-piece swimsuit in a store that fit well enough to wear out. Anthony made the suit to match my measurements, and it fits perfectly! I've never had a suit come close to looking this good. He was quick to respond and made sure every detail was to my liking, even taking the time to make an adjustment that I needed. 

I'll definitely be buying more in other colors and cuts, and I'm recommending this seller to all of my long-torsoed friends!"
241,I bought this swimsuit from this shop and I was amazed by the customer service. I had chosen the pink color and he messaged me to ensure he was positive which pink I wanted. He was then very helpful when the tracking on the package was not updating. When I received the item I was thrilled by how well it was made! Would definitely purchase from this shop again.
242,I love my tribe pocahontas swimsuit. Its so comfy! Great material superior making. Communication with Anthony has been a pleasure. He is kind and cares about his costumers. Will definitely purchase again. Thank you Anthony 😊
243,This suit is perfect!Fits great and the quality is superb.Was shipped and delivered on time.Worth the wait.I am very happy with this purchase!!!!
244,"I bought this bathingsuit in red and love it, fits perfectly! I will definitely order from here again. Very great customer service and got it very quickly. 10/10 will order from here again."
245,"Love love love this suit! I have never had a one piece fit me so well. Also awesome customer service, responds quickly and very detailed! Can’t wait to order another one!"
